"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11473","Client App get all elemnts text","chromium","Thu Nov 27 15:53:53 IST 2025","failed","Thu Nov 27 15:54:04 IST 2025","","locatorClientTest.spec.js","",""
"","12381","@Smoke get first element on dashborad","chromium","Thu Nov 27 15:53:41 IST 2025","passed","Thu Nov 27 15:53:54 IST 2025","","exampleTest.spec.js","",""
"","18655","Register","chromium","Thu Nov 27 15:54:00 IST 2025","failed","Thu Nov 27 15:54:19 IST 2025","","locatorClientTest.spec.js","",""
"","11562","page object manager testing","chromium","Thu Nov 27 15:54:28 IST 2025","failed","Thu Nov 27 15:54:40 IST 2025","","pomE2E.spec.js","",""
"","6992","Visual testing by matching screenshot","chromium","Thu Nov 27 15:54:41 IST 2025","passed","Thu Nov 27 15:54:48 IST 2025","","locatorClientTest.spec.js","",""
"","28","create order","chromium","Thu Nov 27 15:53:10 IST 2025","skipped","Thu Nov 27 15:53:10 IST 2025","","api.spec.js","",""
"","1","place order using api","chromium","Thu Nov 27 15:53:10 IST 2025","skipped","Thu Nov 27 15:53:10 IST 2025","","api.spec.js","",""
"","20671","Screenshot","chromium","Thu Nov 27 15:54:18 IST 2025","passed","Thu Nov 27 15:54:38 IST 2025","","locatorClientTest.spec.js","",""
"","10835","place order","chromium","Thu Nov 27 15:54:15 IST 2025","passed","Thu Nov 27 15:54:25 IST 2025","","locatorClientTest.spec.js","",""
"","719","get token","chromium","Thu Nov 27 15:53:13 IST 2025","failed","Thu Nov 27 15:53:14 IST 2025","","api.spec.js","",""
"","5915","handling new tab","chromium","Thu Nov 27 15:53:54 IST 2025","passed","Thu Nov 27 15:54:00 IST 2025","","locatorClientTest.spec.js","",""
"","30982","handling alerts","chromium","Thu Nov 27 15:54:15 IST 2025","broken","Thu Nov 27 15:54:46 IST 2025","","locatorClientTest.spec.js","",""
"","15788","get all element on dashborad","chromium","Thu Nov 27 15:53:13 IST 2025","passed","Thu Nov 27 15:53:29 IST 2025","","clientTest.spec.js","",""
"","21222","Register","chromium","Thu Nov 27 15:53:18 IST 2025","failed","Thu Nov 27 15:53:39 IST 2025","","clientTest.spec.js","",""
"","4613","download & upload","chromium","Thu Nov 27 15:54:46 IST 2025","passed","Thu Nov 27 15:54:51 IST 2025","","testValidation.spec.js","",""
"","22411","wrong cred login info","chromium","Thu Nov 27 15:53:35 IST 2025","failed","Thu Nov 27 15:53:57 IST 2025","","exampleTest.spec.js","",""
"","17736","place order","chromium","Thu Nov 27 15:53:23 IST 2025","passed","Thu Nov 27 15:53:41 IST 2025","","clientTest.spec.js","",""
"","15613","get all element on dashborad","chromium","Thu Nov 27 15:54:00 IST 2025","passed","Thu Nov 27 15:54:15 IST 2025","","locatorClientTest.spec.js","",""
"","7676","handling new tab","chromium","Thu Nov 27 15:53:13 IST 2025","passed","Thu Nov 27 15:53:21 IST 2025","","clientTest.spec.js","",""
"","14414","Client App get all elemnts text","chromium","Thu Nov 27 15:53:13 IST 2025","failed","Thu Nov 27 15:53:28 IST 2025","","clientTest.spec.js","",""
